Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	Braun	Steven J.		X	IN04	2017	10/16/2017	30003734
Ms.	Brian	Lee Andrea		A	NC04	2017	1/12/2018	10019722
Ms.	Brian	Lee Andrea		C	NC04	2017	10/25/2017	10018484
Ms.	Brian	Lee Andrea		D	NC04	2017	8/16/2017	9111669
	Bridges	Adam Wayne		A	GA01	2017	7/10/2017	10018063
	Bridges	Adam Wayne		A	GA01	2017	10/16/2017	10019128
	Bridges	Adam Wayne		C	GA01	2017	6/13/2017	10017775
	Bridges	Adam Wayne		D	GA01	2017	7/6/2017	9111369
	Bridges	Adam Wayne		W		2017		9112345
	Brindisi	Anthony		C	NY22	2017	7/27/2017	10018296
	Brolley	Matt		C	IL14	2017	8/7/2017	10018441
Hon.	Brooks	Mo		O	AL05	2017	5/11/2018	10021738
Hon.	Brooks	Mo		P	AL05	2017	1/31/2017	20006641
Hon.	Brooks	Mo		P	AL05	2017	2/16/2017	20006768
Hon.	Brooks	Mo		P	AL05	2017	4/3/2017	20006992
Hon.	Brooks	Mo		P	AL05	2017	5/13/2017	20007279
Hon.	Brooks	Mo		P	AL05	2017	6/5/2017	20007410
Hon.	Brooks	Mo		P	AL05	2017	7/16/2017	20007636
Hon.	Brooks	Mo		P	AL05	2017	8/17/2017	20007835
Hon.	Brooks	Mo		P	AL05	2017	10/30/2017	20008301
Hon.	Brooks	Mo		P	AL05	2017	12/21/2017	20008596
Hon.	Brooks	Susan W.		O	IN05	2017	5/15/2018	10020180
Hon.	Brooks	Susan W.		P	IN05	2017	5/3/2017	20007073
Hon.	Brooks	Susan W.		P	IN05	2017	7/17/2017	20007640
Hon.	Brown	Anthony		O	MD04	2017	4/25/2018	10020800
	Brown	Christine Carol		C	WA04	2017	6/27/2017	10017948
Mr.	Brown	David Wilson		C	NC10	2017	12/31/2017	10018637
Mr.	Brown	David Wilson		D	NC10	2017	8/17/2017	40000905
Mrs.	Brown	Lindsay Christine		D	NJ07	2017	10/4/2017	9111855
	Brown	Lisa		C	WA05	2017	9/30/2017	10019008
	Brown	Paul Michael		C	TX32	2017	11/27/2017	10019469
	Brown	Shaun Denise		C	VA02	2017	11/1/2017	9111960
	Brown	Stephen Keith	II	C	TX22	2017	1/26/2018	10019623
	Brown	Stephen Keith	II	X	TX22	2017	1/11/2018	30003876
	Browning	Kate M.		C	NY01	2017	2/28/2018	10019935
Hon.	Brownley	Julia		O	CA26	2017	8/3/2018	10022405
Hon.	Brownley	Julia		X	CA26	2017	5/11/2018	30004343
Mr.	Bruce	George C.		A	KS04	2017	3/16/2017	10014658
Mr.	Bruce	George C.		C	KS04	2017	3/16/2017	10014593
	Bruun	Bech		C	TX27	2017	2/2/2018	10019691
	Bruun	Bech		X	TX27	2017	2/12/2018	30003890
	Bryan	Pat		C	TX02	2017	4/13/2017	10015204
	Bryce	Randy		C	WI01	2017	10/24/2017	9111925
Mr.	Buchanan	Jarred Robert		D	NY18	2017	1/10/2018	9112263
Hon.	Buchanan	Vern		O	FL16	2017	5/15/2018	9113267
Hon.	Buchanan	Vern		P	FL16	2017	1/23/2017	20006600
Hon.	Buchanan	Vern		P	FL16	2017	2/23/2017	20006797
Hon.	Buchanan	Vern		P	FL16	2017	4/21/2017	20007101
Hon.	Buchanan	Vern		P	FL16	2017	6/5/2017	20007407
Hon.	Buchanan	Vern		P	FL16	2017	10/20/2017	20008250
Hon.	Buchanan	Vern		P	FL16	2017	11/28/2017	20008451
Hon.	Buchanan	Vern		P	FL16	2017	12/20/2017	20008588
Dr.	Buchman	Joseph Geddes		C	UT03	2017	2/14/2018	10019901
Hon.	Buck	Kenneth R.		O	CO04	2017	8/6/2018	10022195
Hon.	Buck	Kenneth R.		P	CO04	2017	6/23/2017	20007519
Hon.	Buck	Kenneth R.		P	CO04	2017	6/23/2017	20007519
Hon.	Buck	Kenneth R.		P	CO04	2017	11/2/2017	20008310
Hon.	Buck	Kenneth R.		P	CO04	2017	11/2/2017	20008310
Hon.	Buck	Kenneth R.		P	CO04	2017	12/11/2017	20008536
Hon.	Buck	Kenneth R.		P	CO04	2017	12/11/2017	20008536
Hon.	Buck	Kenneth R.		X	CO04	2017	5/15/2018	30004624
Hon.	Bucshon	Larry		A	IN08	2017	6/7/2018	9113308
Hon.	Bucshon	Larry		O	IN08	2017	5/15/2018	9112863
Hon.	Budd	Theodore P.		O	NC13	2017	7/12/2018	10020692
Hon.	Budd	Theodore P.		X	NC13	2017	4/19/2018	30003987
	Bunkeddeko	Adem		C	NY09	2017	1/29/2018	10019800
	Bunkeddeko	Adem		X	NY09	2017	11/7/2017	9112000
	Bunny	Sean		C	NY27	2017	11/17/2017	10019372
	Burch	Lorie Louis		C	TX03	2017	7/3/2017	10017993
	Burch	Natashia		C	AR02	2017	7/22/2017	10018242
	Burchett	Tim		C	TN02	2017	10/25/2017	9111942
Hon.	Burgess	Michael C.		O	TX26	2017	8/6/2018	10022079
Hon.	Burgess	Michael C.		X	TX26	2017	5/9/2018	30004232
	Burkett	Mary		C	UT02	2017	11/1/2017	9111961
Mr.	Burkhart	Eric Bradley		C	TX21	2017	8/7/2017	9111545
	Burum	Jeffrey David		C	CA26	2017	3/9/2018	10020018
	Bush	Aaron Michael		D	IN02	2017	6/16/2017	40000842
	Bush	Cori		C	MO01	2017	6/30/2017	10017365
Hon.	Bustos	Cheri		O	IL17	2017	6/6/2018	10021983
Hon.	Bustos	Cheri		P	IL17	2017	2/9/2017	20005631
Hon.	Bustos	Cheri		P	IL17	2017	5/15/2017	20007260
Hon.	Bustos	Cheri		X	IL17	2017	5/9/2018	30004208
	Butler	Joshua A.		C	TX07	2017	5/12/2017	10016844
	Butner	Josh Clayton		C	CA50	2017	5/14/2017	10016880
Hon.	Butterfield	G. K.		O	NC01	2017	5/10/2018	10021834
	Buttrey	Francis Edward		C	MT00	2017	4/14/2017	10015248
	Butts	Pamela M. Pinkney		C	OH11	2017	12/26/2017	10019616
Hon.	Byrne	Bradley		O	AL01	2017	5/15/2018	9112864
	Cabildo	Maria		C	CA34	2017	3/5/2017	10014474
	Cabildo	Maria		X	CA34	2017	2/27/2017	30002715
	Caforio	Bryan		C	CA25	2017	7/30/2017	10017352
	Caforio	Bryan		X	CA25	2017	6/7/2017	30003376
	Cain	Brett Butler		D	AL05	2017	6/21/2017	9111318
	Calderon	Roza I.		X	CA04	2017	6/28/2017	30003393
Mr.	Caldwell	Kevin Terome		D	MD06	2017	11/27/2017	9112128
	Callahan	Mark Allen		D	OR05	2017	12/1/2017	9112149
Hon.	Calvert	Ken		O	CA42	2017	5/15/2018	10022086
	Cambers	Kress Franklin		C	MO05	2017	10/22/2017	10019040
	Cameron	Craig		D	IL07	2017	11/29/2017	40001031
	Campagna	Sheryl Francys		C	HI02	2017	5/2/2018	9112751
	Campagna	Sheryl Francys		X	HI02	2017	1/10/2018	9112275
	Campa-Najjar	Ammar		C	CA50	2017	12/29/2017	9112216
Mr.	Campbell	Daniel C.		C	TX05	2017	12/18/2017	10019584
Ms.	Camper	Candance		D	CA43	2017	4/5/2018	9112622
	Canales	Judith Ann		C	TX23	2017	12/15/2017	10019122
	Canales	Judith Ann		X	TX23	2017	11/9/2017	30003759
	Cano	Fernando Christian Mr	Jr	C	NC09	2017	5/15/2017	10017241
	Canon	Daniel J.		C	IN09	2017	11/21/2017	10019447
	Canseco	Francisco Quico		D	TX20	2017	11/16/2017	40001002
	Cantu	James		C	TX08	2017	7/14/2017	10018151
Hon.	Capps	Lois		T	CA24	2017	1/17/2017	10014416
Hon.	Capuano	Michael E.		O	MA07	2017	5/14/2018	10021676
Hon.	Carbajal	Salud O.		O	CA24	2017	5/10/2018	10020706
Hon.	Cardenas	Tony		X	CA29	2017	5/9/2018	30004235
Hon.	Cárdenas	Tony		O	CA29	2017	8/10/2018	10022092
Mr.	Cargas	James P.		C	TX07	2017	5/15/2017	10016941
Hon.	Carney	John C.	Jr.	T	DE00	2017	2/2/2017	10014468
	Carp	Evan		D	OH14	2017	5/16/2017	40000783
	Carp	Evan		X	OH14	2017	5/18/2017	30003013
	Carpenter	Douglas M.		D	IN02	2017	5/18/2017	9110795
Mr.	Carrigan	Sean J.		C	SC02	2017	9/14/2017	10018924
	Carrillo	John Rene		C	TX16	2017	10/1/2017	10019018
	Carrillo	John Rene		D	TX16	2017	10/12/2017	9111906
	Carrillo	John Rene		W	TX16	2017	4/19/2018	6344
Hon.	Carson	André		A	IN07	2017	7/2/2018	10024056
Hon.	Carson	André		O	IN07	2017	5/15/2018	10022451
Hon.	Carter	Earl Leroy		A	GA01	2017	9/28/2018	10024809
Hon.	Carter	Earl Leroy		A	GA01	2017	5/23/2019	10027374
Hon.	Carter	Earl Leroy		O	GA01	2017	8/2/2018	10023014
Hon.	Carter	Earl Leroy		X	GA01	2017	5/15/2018	30004555
Hon.	Carter	John R.		O	TX31	2017	5/15/2018	10021471
Hon.	Cartwright	Matt		O	PA17	2017	8/13/2018	9113665
Hon.	Cartwright	Matt		X	PA17	2017	5/24/2018	9113175
Hon.	Cartwright	Matt		X	PA17	2017	7/23/2018	9113563
	Casara	Daniel		C	CA50	2017	7/29/2017	10018293
